Quen: 의속하다 
 Thích ứng: 적응하다 
 Quen dần: 의속해지다 
 Cô đơn: 외끓다 
 Lạ lẫm, không quen: 낮설다 
 Bất tiện: 불편하다 
 Thẻ đăng ký người nước ngoài: 외국인 등록증 
 Phòng quản lý xuất nhập cảnh: 출입국관리사무소 
 Thẻ giao thông: 교통 카드 
Thẻ tiền mặt:  현금카드 
Làm sổ tài khoản:  통장을 만들다 
Đổi tiền:  환전하다 
Ký túc xá:  기숙사 
Nhà (phòng) thuê (tự nấu ăn):  지취(방) 
Nhà trọ:  허속집 
Vị trí:  위치 
Bạn cùng phòng:  룸메이트 
Tiền đặt cọc:  보증금 
Thuê trả tiền từng tháng:  월세 
Chi phí:  비용 
Tiền internet:  인터넷 요금 
Tiền ga:  가스 요금 
Tiền điện:  전기 요금 
Tiền nước:  수도 요금 
Có khả năng:  기능하다 
Thắc mắc:  공급하다 
Bát:  그룹 
Trả lời:  답변 
Riêng rẻ:  따로 
Thông minh:  목록하다 
Mỗi:  이다 
Hỏi:  문의 
Trồng, rồng:  비다 
Tốn chi phí:  비용이 들다 
Xảy ra:  생기다 
Để tâm, chú ý:  신경 쓰다 
Tiết kiệm:  어끼다 
Trả phí:  요금을 내다 
Chuyển nhà:  이사하다 
Diễn ra tốt đẹp, tốt:  질보다 
Người chủ:  주인 
Trực tiếp:  직접 
Bao gồm:  프랑되다 
Liệu, có lẽ, hay là:  홍시 
