마음이 넓다:         tấm lòng rộng lượng  
성격이 좋다:         tính tình tốt  
대인관계가 좋다:         quan hệ xã hội tốt  
친절하다:        thân thiện, tử tế  
사람을 사귀다 / 친구를 사귀다:       làm quen, kết bạn  
대인관계가 나쁘다:       quan hệ xã hội không tốt  
사람들과 잘 어울리다:        hòa hợp với mọi người  
사람들을 잘 대하다:      đối xử tốt với mọi người  
부탁하다:        nhờ cậy, nhờ giúp  
부탁을 받다:         được đề nghị giúp đỡ  
부탁을 들어주다:         nhận lời giúp đỡ  
부탁을 거절하다:         từ chối giúp đỡ  
핑계를 대다:         lấy cớ  
도움을 청하다:       yêu cầu được giúp đỡ  
거절하다:        từ chối  
거절을 당하다:       bị từ chối  
도움을 받다:         nhận được sự giúp đỡ  
안부를 묻다 / 여쭙다:        thăm hỏi  
안부 편지를 보내다:      viết thư hỏi thăm  
안부를 전하다:       gửi lời hỏi thăm  
안부 전화를 하다:        gọi điện thoại thăm hỏi  
찾아뵙다:        đến thăm  
송별회:      tiệc chia tay  
회식:        liên hoan công ty  
동창회:      họp mặt bạn cùng lớp  
송년회:      tiệc tất niên  
동호회:      hội người cùng sở thích  
야유회:      buổi picnic  
정기 모임:       họp mặt định kỳ  
이별하다:        chia tay  
취소하다:        hủy bỏ  
회비:        hội phí  
변경하다:        thay đổi  
가능하면:        nếu có thể  
겁이 나다:       sợ hãi  
농담:        nói đùa  
다가오다:        đến gần  
때때로:      đôi khi, thỉnh thoảng  
부드럽다:        mềm mại, nhẹ nhàng  
사정:        lý do riêng, việc riêng  
상대방:      đối phương, người đối diện  
솔직하다:        thẳng thắn  
요약:        tóm lược  
원래:        nguyên gốc, vốn dĩ  
추천하다:        đề cử, tiến cử  
충분히:      đủ, đầy đủ  
취직하다:        đi làm, có việc làm  
포기하다:        bỏ cuộc  
수첩:        sổ tay  
뒤풀이:      ăn mừng hoàn thành công việc, liên hoan tổng kết  
스승의 날:       ngày Nhà giáo  
실력:        thực lực  
들르다:      ghé qua  
면접시험:        thi vấn đáp  
무사히:      vô sự, an toàn  
어색하다:        không tự nhiên, ngượng ngập  
염려하다:        lo lắng  
표정을 짓다:         biểu hiện bằng nét mặt   
현명하다:        khôn ngoan, sáng suốt  
